Schoolid,School_Name,medium,Latitude,Longitude,shift,low_class,High_class,Z_ID,Zone_Name,D_ID,District_name,SchManagement,SchCategory,typeOfSchool
1925051,"Badarpur, No.2-GBSSS",Panjabi,28.50480281,77.30260755,Evening,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Boys
1925052,Joga Bai-GBSSS,Panjabi,28.56407,77.272636,Evening,6,12,2225,Zone-25,22,South East,Government,Senior Secondary Schools,Co-ed
1925053,"Molar Band, No.2- GGSSS",Panjabi,28.4946702,77.32607848,Morning,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Co-ed
1925054,"Badarpur, No.2-GGSSS",Panjabi,28.50515005,77.3027923,Morning,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Girls
1925056,Tughlakabad Extn.-SBV,Panjabi,28.52396794,77.26230036,Morning,Nursery,12,2229,Zone-29,22,South East,Government,Sarvodaya Sr. Secondary Schools,Girls
1925057,"Molar Band, No.2-GBSSS",Panjabi,28.49487808,77.3270424,Evening,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Girls
1925058,"Tughlakabad, Railway Colony, No.2-GBSSS",Panjabi,28.50670039,77.29001105,Evening,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Girls
1925059,"Lajpat Nagar, Ring Road-SBV (Shaheed Hemu Kalani)",Panjabi,28.56599403,77.24550588,General,Nursery,12,2225,Zone-25,22,South East,Government,Sarvodaya Sr. Secondary Schools,Girls
1925060,Chitranjan Park-S(Co-ed) V (Shyama Prasad Mukherjee),Panjabi,28.54094534,77.24547699,General,Nursery,12,2229,Zone-29,22,South East,Government,Sarvodaya Sr. Secondary Schools,Co-ed
1925061,"Tughlakabad Extn., No.1-SKV (Aruna Asif Ali)",Panjabi,28.52487321,77.26234423,Morning,Nursery,12,2229,Zone-29,22,South East,Government,Sarvodaya Sr. Secondary Schools,Girls
1925062,"Madanpur Khadar, No. 1- SKV",Panjabi,28.52948583,77.28879747,Morning,Nursery,12,2229,Zone-29,22,South East,Government,Sarvodaya Sr. Secondary Schools,Girls
1925128,"Green Park Extn.-Jain Girls, Sec School",Panjabi,28.56226205,77.20493718,Morning,6,10,1923,Zone-23,19,South,Aided,Secondary Schools,Girls
1925190,Molar Band-GGSSS No. 3,Panjabi,28.49488202,77.32678525,Morning,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Girls
1925191,Lajpat Nagar-S. E. S. Baba Nebh Raj Sr. Sec. School,Panjabi,28.57515328,77.24392965,Morning,6,12,2225,Zone-25,22,South East,Aided,Senior Secondary Schools,Girls
1925192,Lajpat Nagar-Shri Guru Singh Sabha Sec. School,Panjabi,28.57589003,77.24280212,Morning,6,10,2225,Zone-25,22,South East,Aided,Secondary Schools,Girls
1925193,Lajpat Nagar-Balwant Rai Mehta Vidya Bhawan,Panjabi,28.56217401,77.23590222,Morning,6,12,2225,Zone-25,22,South East,Aided,Senior Secondary Schools,Girls
1925194,Lajpat Nagar-S. R. S. D. Sr. Sec. School,Panjabi,28.56348989,77.2478912,Morning,6,12,2225,Zone-25,22,South East,Aided,Senior Secondary Schools,Boys
1925195,Lajpat Nagar-S. S. Khalsa Sr. Sec. School,Panjabi,28.5618035,77.24093449,Morning,6,12,2225,Zone-25,22,South East,Aided,Senior Secondary Schools,Co-ed
1925196,Ishwar Nagar-Kasturba Balika Vidyalaya,Panjabi,28.56040515,77.2657963,Morning,6,12,2225,Zone-25,22,South East,Aided,Senior Secondary Schools,Boys
1925198,"Chitranjan Park, C-489-Raisina Bengali Sr. Sec. School",Panjabi,28.53629144,77.24807426,Morning,6,12,2229,Zone-29,22,South East,Aided,Senior Secondary Schools,Girls
1925199,Yusuf Sarai-M. B. Dav Sr. Sec. School,Panjabi,28.55852937,77.20742038,Morning,6,12,1923,Zone-23,19,South,Aided,Senior Secondary Schools,Co-ed
1925206,Tuglakabad Extn.-Air Force Bal Niketan School,English,28.51315186,77.2397772,Morning,6,8,1923,Zone-23,19,South,Aided,Middle Schools,Girls
1925246,Masjid Moth- Sarvodaya(Co-ed) Vidyalaya,English,28.56380938,77.21838577,General,Nursery,12,2225,Zone-25,22,South East,Government,Sarvodaya Sr. Secondary Schools,Girls
1925247,"Badarpur, No.3-GBSSS",English,28.5070431,77.29957547,Evening,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Girls
1925248,"Badarpur, No.3-GGSSS",English,28.50715354,77.29955146,Morning,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Girls
1925249,Tughlakabad Extn.-GBSSS No.3,English,28.52486125,77.26242399,Evening,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Boys
1925250,Tughlakabad Extn.-GGSSS No.2,English,28.5245103,77.26265131,Morning,6,12,2229,Zone-29,22,South East,Government,Senior Secondary Schools,Boys
1925333,Shahpur Jat-S(Co-Ed)V,English,28.54991922,77.2134756,General,Nursery,12,1923,Zone-23,19,South,Government,Sarvodaya Sr. Secondary Schools,Boys
