state_name,state_code,district_name,district_code,number_of_schools,number_of_teachers,students_surveyed,learning_outcome_code,performance,subject,grade,learning_outcome,latitude,longitude
Delhi,10,Central,77,62,245,836,SST823,31.52034876,Sst,Grade 8,Applies the knowledge of the Fundamental Rights to find out about their violation. protection and promotion in a given situation,28.6859,77.2148
Delhi,10,North East,741,53,196,659,SST823,26.96724555,Sst,Grade 8,Applies the knowledge of the Fundamental Rights to find out about their violation. protection and promotion in a given situation,28.7133,77.257
Delhi,10,North West A,82,57,219,746,SST823,28.25984929,Sst,Grade 8,Applies the knowledge of the Fundamental Rights to find out about their violation. protection and promotion in a given situation,28.7186,77.0685
Delhi,10,North West B,742,57,219,750,SST823,40.02769073,Sst,Grade 8,Applies the knowledge of the Fundamental Rights to find out about their violation. protection and promotion in a given situation,28.7373,77.091
Delhi,10,South,743,50,193,691,M621,40.28394178,Math,Grade 8,"Arranges given/collected information in the form of table, pictograph and bar graph and interprets them",28.5436,77.2706
Delhi,10,South East,744,62,247,785,M621,44.26450951,Math,Grade 8,"Arranges given/collected information in the form of table, pictograph and bar graph and interprets them",28.563,77.2611
Delhi,10,New Delhi,79,55,216,728,M621,47.69739018,Math,Grade 8,"Arranges given/collected information in the form of table, pictograph and bar graph and interprets them",28.5669,77.1295
Delhi,10,South West A,84,67,253,859,M621,47.26432976,Math,Grade 8,"Arranges given/collected information in the form of table, pictograph and bar graph and interprets them",28.5929,77.0346
Delhi,10,South West B,745,51,204,720,M621,45.19380665,Math,Grade 8,"Arranges given/collected information in the form of table, pictograph and bar graph and interprets them",28.6122,76.9865
Delhi,10,East,740,62,239,860,M621,43.62153788,Math,Grade 8,"Arranges given/collected information in the form of table, pictograph and bar graph and interprets them",28.6146,77.2959
Delhi,10,West B,746,56,219,705,M621,39.14507237,Math,Grade 8,"Arranges given/collected information in the form of table, pictograph and bar graph and interprets them",28.6196,77.0881
Delhi,10,West A,85,57,213,776,M621,43.13177107,Math,Grade 8,"Arranges given/collected information in the form of table, pictograph and bar graph and interprets them",28.6246,77.2987
Delhi,10,North,80,62,248,804,M621,40.82067809,Math,Grade 8,"Arranges given/collected information in the form of table, pictograph and bar graph and interprets them",28.6859,77.2148
Delhi,10,Central,77,62,245,836,M621,41.66626555,Math,Grade 8,"Arranges given/collected information in the form of table, pictograph and bar graph and interprets them",28.6859,77.2148
Delhi,10,North East,741,53,196,659,M621,35.08251792,Math,Grade 8,"Arranges given/collected information in the form of table, pictograph and bar graph and interprets them",28.7133,77.257
Delhi,10,North West A,82,57,219,746,M621,41.58548768,Math,Grade 8,"Arranges given/collected information in the form of table, pictograph and bar graph and interprets them",28.7186,77.0685
Delhi,10,North West B,742,57,219,750,M621,44.94676505,Math,Grade 8,"Arranges given/collected information in the form of table, pictograph and bar graph and interprets them",28.7373,77.091
Delhi,10,South,743,57,274,649,M1012,25.65464445,Math,Grade 10,"Calculates mean, median and mode for different sets of data related with real life contexts.",28.5436,77.2706
Delhi,10,South East,744,70,349,767,M1012,25.4400266,Math,Grade 10,"Calculates mean, median and mode for different sets of data related with real life contexts.",28.563,77.2611
Delhi,10,New Delhi,79,57,275,658,M1012,25.89239724,Math,Grade 10,"Calculates mean, median and mode for different sets of data related with real life contexts.",28.5669,77.1295
Delhi,10,South West A,84,72,349,791,M1012,25.35494742,Math,Grade 10,"Calculates mean, median and mode for different sets of data related with real life contexts.",28.5929,77.0346
Delhi,10,South West B,745,62,308,718,M1012,25.63518359,Math,Grade 10,"Calculates mean, median and mode for different sets of data related with real life contexts.",28.6122,76.9865
Delhi,10,East,740,67,329,794,M1012,24.52276769,Math,Grade 10,"Calculates mean, median and mode for different sets of data related with real life contexts.",28.6146,77.2959
Delhi,10,West B,746,66,322,721,M1012,26.02427787,Math,Grade 10,"Calculates mean, median and mode for different sets of data related with real life contexts.",28.6196,77.0881
Delhi,10,West A,85,67,329,757,M1012,22.55944165,Math,Grade 10,"Calculates mean, median and mode for different sets of data related with real life contexts.",28.6246,77.2987
Delhi,10,North,80,76,371,840,M1012,24.83442086,Math,Grade 10,"Calculates mean, median and mode for different sets of data related with real life contexts.",28.6859,77.2148
Delhi,10,Central,77,71,358,803,M1012,26.25195797,Math,Grade 10,"Calculates mean, median and mode for different sets of data related with real life contexts.",28.6859,77.2148
Delhi,10,North East,741,60,276,643,M1012,23.38648481,Math,Grade 10,"Calculates mean, median and mode for different sets of data related with real life contexts.",28.7133,77.257
Delhi,10,North West A,82,66,320,723,M1012,25.17367868,Math,Grade 10,"Calculates mean, median and mode for different sets of data related with real life contexts.",28.7186,77.0685
